State,District,Solar Irradiance,Cropping Intensity(%),Irrigation Intensity (%),IWU (% of CWU),Elect(%),GW_dev_stage (%),Surface water area (km2)-%,Cultivated land (%),Electricity Subsidy,GW share irr (% of IWU),WL (m),Small& Marginal % Holdings
uttar pradesh,Farrukhabad,4.86,140.94,93.8,74.42,5,74.12,0.19,78.67,0,88.05,10.7,94.42
karnataka,Gulbarga,5.34,118.44,12.5,48.77,100,41.06,0.05,81.33,0,43.01,6.4,61.75
madhya pradesh,Gwalior,5.1,187.8,59.7,67.74,100,31.42,0.52,46.66,135,34.65,13.6,78.7
madhya pradesh,Hoshangabad,5.25,253.85,72.5,76.35,97,25.86,0.19,49.16,135,46.42,8.07,69.19
rajasthan,Jaisalmer,5.58,140.23,43.1,82.86,27,362.01,0.01,20.81,167,20.99,34.02,10.12
uttar pradesh,Kanpur Dehat,4.93,147.58,72.1,77.15,14,74.12,0.45,71.1,0,62.99,15.2,92.32
himachal pradesh,Kinnaur,4.54,130.05,0,31.11,98,0,0.09,1.4,30,0,12.51,83.02
west bengal,Kolkata,4.65,,0,,68,0,12.83,,460,0,13.21,0
chhattisgarh,Koriya,5.2,110.46,7.4,43.43,100,39.04,0.13,15.93,0,30.65,6.9,74.25
arunachal pradesh,Longding,4.04,116.85,0,19.3,0,0,0.03,22.38,290,0.6,4.43,29.33
nagaland,Mon,4.08,122.49,13.6,23.28,0,3.68,0.14,23.53,320,0.22,2.5,14.17
maharashtra,Nashik,5.34,118.99,51,69.81,100,58.41,3,47.55,155,69.92,7.49,76.81
andaman and nicobar,Nicobar Islands,5.03,140.67,0,81.98,100,0.28,0.01,0.17,175,0.57,-1.28,42.04
tripura,North Tripura,4.63,178.47,24.8,34.69,100,12.11,0,15.52,405,30.85,2.28,95.88
maharashtra,Palghar,5.25,,5.4,62.35,100,23.85,0.29,,155,71.97,9.7,78.89
gujarat,Panch Mahals,5.42,130.48,42.6,74.6,100,21.81,0,54.63,60,72.14,9.2,76.95
madhya pradesh,Panna,5.19,167.89,34.6,70.1,100,36.48,0.59,36.68,135,55.65,9.5,79.19
nagaland,Phek,4.22,139.93,30,33.61,0,2.41,0.01,17.6,320,0.1,3.28,29.82
jharkhand,Ramgarh,5.03,127.16,13.8,40.89,10,62.3,131,12.55,95,72.83,5.9,76.78
uttarakhand,Rudraprayag,4.73,160.84,0,39.71,0,0,0,7.92,285,0.5,15.55,92.91
madhya pradesh,Satna,5.16,176.86,39.4,72.6,99,65.59,0.65,50.58,135,73.14,10.19,84.36
himachal pradesh,Shimla,4.8,119.52,0,38.78,98,0,0.01,13.79,30,5.7,11.9,88.01
himachal pradesh,Sirmaur,4.72,189.17,38.5,52.77,0,21.84,1.29,17.11,30,20.99,10.71,71.08
meghalaya,South Garo Hills,4.36,127.65,39.7,29.42,0,1.17,0.7,10.11,300,54.66,4.8,73.77
gujarat,Tapi,5.31,130.32,48.4,75.48,100,32.88,1.05,48.07,60,36.44,7.6,66.38
nagaland,Tuensang,4.09,130.14,13.7,27.02,0,3.73,0.01,23.68,320,0.04,2.86,9.65
arunachal pradesh,Upper Siang,3.3,130.5,0,9.31,0,0,0,45.22,290,0,7.41,43.47
maharashtra,Wardha,5.27,122.73,9.5,66.34,100,53.55,0.44,59.6,155,90.36,7.3,62.87
maharashtra,Washim,5.32,142.35,9.9,62.1,99,60.2,0.41,64.24,155,88.08,9.9,75.18
meghalaya,West Khasi Hills,4.34,140.51,72.2,28.29,0,1.55,0.4,3.59,300,0.1,1,78.37
nagaland,Wokha,4.37,145.41,19.8,31.13,0,2.35,0.01,22.7,320,10.78,4.1,6.74
uttar pradesh,Budaun,4.82,191.76,72.9,78.69,13,83.11,0.22,83.79,0,53.12,12.3,93.34
jharkhand,Giridih,4.97,384.01,17.8,42.12,4,37.75,0.72,8.54,95,56.57,7.9,94.32
arunachal pradesh,Lower Dibang Valley,3.4,141.27,13.6,16.96,0,0.19,0,80.5,290,0.16,5.93,14.53
maharashtra,Mumbai Suburban,5.25,,0,56.33,100,0,0,0,155,0,8.7,0
tamil nadu,Perambalur,5.27,107.61,29.2,60.15,96,109.39,1.02,58.28,0,70.19,6.52,94.43
uttar pradesh,Bahraich,4.79,162.47,51.8,67.32,82,59.99,0.32,64.13,0,47.69,4,95.42
rajasthan,Bundi,5.35,184.25,59.7,78.33,48,102.17,0,46.04,167,54.02,4.58,73.94
karnataka,Dharwad,5.38,161.7,12.4,64.54,100,56.24,0.04,80.52,0,48.12,9.1,65.87
maharashtra,Dhule,5.34,125.06,25.2,74.64,98,51.77,1.51,48.99,155,79.32,8.18,71.35
maharashtra,Garhchiroli,5.23,133.64,30.8,66.39,100,24.37,0.21,9.55,155,28.02,6.16,73.02
haryana,Hisar,4.87,195.68,90.4,81.85,62,88.17,0,82.89,10,30.53,9.07,60.48
bihar,Jehanabad,4.91,188.35,78.3,63.04,2,82.21,0.17,38.53,67.5,61.3,4.8,97.55
haryana,Jhajjar,4.84,199.83,91.7,80.61,99,54.14,0.07,69.86,10,53.16,3.2,75.37
rajasthan,Kota,5.29,191.2,55.4,73.42,100,105.44,8.11,51.85,167,53.77,6.52,66.71
madhya pradesh,Narsimhapur,5.27,192.27,61.8,77.19,97,66.95,0.14,60.74,135,83.65,9.5,71.98
madhya pradesh,Raisen,5.22,185.61,62.5,74.95,91,53.67,0.32,51.29,135,59.11,8.8,63.81
gujarat,Surat,5.33,109.79,76.9,81.89,100,39.9,0.6,50.47,60,36.39,6.8,72.56
tamil nadu,Thiruvarur,5.39,190.91,69.5,54.87,93,66.07,7.34,73.92,0,10.73,4.15,88.57
rajasthan,Tonk,5.3,157.71,43,63.05,98,101.98,9.03,66.06,167,87.33,7.3,61.92
madhya pradesh,Vidisha,5.22,196.66,45.5,70.76,83,64.4,0.66,73.81,135,58.71,8.68,62.86
uttar pradesh,Amethi,4.8,172.02,89.1,73.82,5,64.61,0.44,60.69,0,67.01,6.68,96.52
uttarakhand,Bageshwar,4.9,176.56,0,44.96,0,0,0.08,10.16,285,0,19.34,99.62
uttar pradesh,Ballia,4.78,163.18,80.8,72.75,2,63.71,0.19,72.46,0,68.64,6,94.56
odisha,Bauda,5.14,106.89,40.5,34.58,87,45.23,0,35.93,150,7.93,4.9,89.82
uttar pradesh,Bijnor,4.79,138.27,96.6,72.76,5,71.85,0.58,68.38,0,81.12,7.9,89.01
himachal pradesh,Bilaspur-HP,5.18,113.35,44.4,44.55,99,0,0.07,45.2,30,28.04,8.55,91.25
maharashtra,Buldana,5.33,131.56,6.2,65.67,100,76.95,0.36,59,155,94.31,10.5,80.06
himachal pradesh,Chamba,4.2,176.06,0,26.92,65,0,0.05,5.7,30,1.61,6.76,93.52
rajasthan,Dungarpur,5.49,156.18,25,78.22,91,59.85,0.08,34.25,167,54.72,6.75,86.53
arunachal pradesh,East Siang,3.48,162.4,16,13.02,0,0.32,0,58.83,290,0.72,8.8,16.22
uttar pradesh,Fatehpur,4.95,154.21,74.8,76.88,18,72.41,0.11,70.49,0,93.52,10,92.43
odisha,Gajapati,4.95,116.93,58,37.02,50,35.92,0.17,19.39,150,12.97,4.7,90.97
tripura,Gomati,4.59,182.5,26.6,36.8,100,5.92,0,27.05,405,16.8,3.6,93.83
uttar pradesh,Hardoi,4.83,159.2,81.9,76.46,41,61.99,0.37,70,0,67.73,5.6,94.88
kerala,Idukki,4.83,125.17,17.8,47.51,99,54.21,1.84,46.9,195,40.39,5.24,97.44
madhya pradesh,Jabalpur,5.24,207.71,61,74.07,97,51.31,0.09,53.75,135,66.54,11.5,80.29
meghalaya,Jaintia Hills,4.23,100.68,63.3,32.2,0,1.22,0.27,3.19,300,0,1,
odisha,Kandhamal,5.05,102.02,5.4,30.55,77,30.23,0,10.48,150,14.57,7.49,95.35
himachal pradesh,Kangra,4.54,191.23,34.8,32.15,69,23.27,0.05,17.73,30,27.04,4.8,90.75
tamil nadu,Kanniyakumari,5.26,108.69,37.2,52.26,94,15.55,264.5,43.7,0,9.19,6.01,99.46
jammu and kashmir,Kishtwar,3.2,123.56,15.8,38.6,0,15.17,0,14.7,235,1.8,12.43,96.44
nagaland,Kohima,4.32,136.12,25.3,34.44,41,5.84,0,21.17,320,0.05,4.5,11.71
kerala,Kollam,5.11,110.41,6.3,39.21,99,51.93,1.53,49.25,195,46.1,7.47,99.84
arunachal pradesh,Kurung Kumey,2.77,123.17,0,18.09,0,0,0,21.58,290,0.22,3.33,34.82
kerala,Malappuram,5.04,130.78,18.6,52.82,98,71.55,0.38,49.59,195,48.04,8.3,99.39
uttar pradesh,Mirzapur,5.03,168.2,72.7,72.59,47,62.7,0.29,46.88,0,58.51,7.9,89.66
nagaland,Mokokchung,4.21,142.29,15.9,28.19,0,1.25,0.05,20.72,320,1.38,2.6,25.92
madhya pradesh,Morena,5.15,189.42,57.6,59.31,83,40.13,0.68,55.95,135,69.03,18.3,87.12
maharashtra,Mumbai City,5.3,,0,,100,0,0,,155,0,4.1,0
tamil nadu,Namakkal,5.44,140.84,40.8,73.16,69,119.19,0.22,45.48,0,77.15,8.39,88.65
gujarat,Navsari,5.32,134.29,75.3,77.09,91,27.14,1.71,44.5,60,40.77,7.6,83.15
jammu and kashmir,Poonch,4.62,166.38,13.2,33.4,99,14.77,0,23.25,235,22.28,4.03,90.26
tamil nadu,Ramanathapuram,5.5,104.45,43.5,62.61,91,6.54,6.46,45.27,0,13.41,5.7,94.2
uttar pradesh,Sambhal,4.8,178.27,73.9,71.76,30,87.28,0.9,82.35,0,75.84,4.48,93.66
uttar pradesh,Sant Ravi Das Nagar,4.96,163.61,85.4,74.19,2,79.79,0,62.29,0,66.24,7.64,98.64
odisha,Subarnapur,5.1,135.79,59.6,36.68,83,48.78,0.46,53.68,150,11,3.81,89.03
maharashtra,Thane,5.17,110.22,5.4,64.31,100,19.07,0.17,38.16,155,75.59,4.5,82.54
tamil nadu,Thanjavur,5.44,167.18,90.3,57.97,85,102.85,38.69,58.28,0,18.48,5.5,93.32
karnataka,Tumkur,5.53,114.64,31.5,58.88,100,91.77,0.87,54.49,0,76.84,9.8,82.36
uttar pradesh,Unnao,4.87,164.81,81.8,78.57,9,61.31,0.53,67.44,0,80.22,6.19,95.65
uttar pradesh,Varanasi,4.96,162.5,84.1,74.65,13,87.78,0.07,66.59,0,76.45,9,99.1
tripura,West Tripura,4.59,188.76,24.4,36.33,100,21.21,0,31.96,405,34.4,5.1,97.87
andhra pradesh,Y.S.R.,5.19,106.91,48.5,68.42,99,33.85,1.58,22.2,0,80.76,6.9,84.83
maharashtra,Amravati,5.25,129.83,9,65.6,60,91.83,0.68,54.9,155,90.92,10.03,74.53
karnataka,Bangalore,5.33,125.82,28.4,49.94,8,150.84,0,16.97,0,72.78,10.4,93.38
gujarat,Bharuch,5.38,107.74,51,75.54,100,30.91,0.93,59.02,60,52.17,5.7,66.35
rajasthan,Bhilwara,5.48,157.25,36.5,77.51,96,163.3,64.41,41.78,167,82.98,10.9,76.8
rajasthan,Bikaner,5.34,122.47,46.3,77.4,40,137.21,0,51.81,167,28.94,36.7,12.44
madhya pradesh,Datia,5.1,196.13,65.8,72.48,100,36.05,0.4,72.35,135,50.44,13.1,77.06
madhya pradesh,Dhar,5.32,212.08,51,75.49,100,65.4,0.95,61.86,135,58.71,10.4,70.96
madhya pradesh,East Nimar,5.26,186.21,44,74.64,84,41.48,0,40.98,135,79.42,7.9,67.22
jharkhand,Gumla,5.12,125.7,5.8,35.93,37,17.84,0.46,24.65,95,75.55,5.5,77.87
karnataka,Haveri,5.39,145.18,28,62.22,100,60.99,0.39,77.6,0,57.16,10.7,76.04
maharashtra,Latur,5.3,117.04,50.7,65.51,99,54.88,2.45,81.57,155,91.9,9.9,78.03
rajasthan,Pali,5.58,126.88,21.3,76.12,90,159.03,0.75,51.16,167,96.76,7.8,54.14
madhya pradesh,Sagar,5.2,185.96,41,71.1,97,59.29,0.21,56.17,135,65.45,10.4,76.08
chhattisgarh,Sukma,5.13,100.57,1,45.22,92,4.12,0,16.61,0,36.45,5.15,46.18
madhya pradesh,West Nimar,5.29,187.54,71.3,78.4,91,45.93,0,50.85,135,69.51,7.8,71.4
arunachal pradesh,West Siang,3.32,120.04,43.9,12.35,0,0.16,0,49.85,290,11.37,6.13,40.06
maharashtra,Yavatmal,5.28,121.14,4.3,66.42,100,33.75,0.85,56.31,155,86.46,8.09,59.89
uttar pradesh,Azamgarh,4.82,179.73,96.5,75.92,18,61.14,0.66,67.68,0,81.77,5.98,96.21
uttar pradesh,Barabanki,4.81,288.25,93.2,69.04,30,63.13,0.75,67.48,0,71.75,6.34,96.27
uttar pradesh,Bulandshahr,4.83,176.16,100,78.99,30,95.56,0.09,82.03,0,78.22,8.9,90.58
uttar pradesh,Chandauli,4.9,184.8,92.3,72.26,27,54.92,0,53.45,0,42.8,5.28,94.42
uttar pradesh,Ghazipur,4.87,171.3,88.3,73.3,33,59.18,0.13,78.18,0,62.82,6.3,95.77
himachal pradesh,Hamirpur,4.75,201.78,4.6,42.73,99,75.5,0.05,29.16,30,14.89,5.6,88.31
uttarakhand,Hardwar,4.76,144.47,95.5,64.81,0,65.4,0.25,46.5,285,81.15,6.4,89.32
uttar pradesh,Kasganj,4.83,192.95,85.1,75.45,16,67.65,0.1,72.55,0,58.2,5.4,92.77
uttar pradesh,Kushinagar,4.6,165.34,89.7,73.42,88,51.18,0.53,72.98,0,69.42,3,97.14
uttar pradesh,Lakhimpur Kheri,4.76,142.94,92.7,72.91,1,60.79,0,62.62,0,84.03,4.3,92.34
uttar pradesh,Mau,4.79,165.66,96.9,75.73,11,64.62,0.75,69.8,0,82.36,5.61,97
tamil nadu,Nagappattinam,5.46,162.65,61,57.37,83,0,4.59,48.49,0,14.41,6.13,90.53
kerala,Palakkad,5.08,132.96,34.4,45.82,93,59.75,1.35,44.83,195,36.21,8.5,98.15
uttar pradesh,Saharanpur,4.76,161.1,95.2,69.41,34,100.62,0,72.79,0,82.93,9.64,83.24
uttar pradesh,Shahjahanpur,4.82,124.97,93.3,74.24,87,64.06,0.61,79.4,0,62.62,7.7,91.5
karnataka,Shimoga,5.28,131.94,62,51.74,100,40.62,3.49,29.34,0,28.31,7.6,87.04
telangana,Adilabad,5.27,143.01,26.2,64.45,100,28.28,0.05,50.17,0,51.89,6.9,80.9
madhya pradesh,Agar Malwa,5.33,199.1,41,71.26,97,89.94,1.35,68.56,135,80.26,10.31,74.41
uttar pradesh,Aligarh,4.86,183.93,85.8,75.13,60,80.41,0.22,82.14,0,78.06,7.8,86.55
gujarat,Amreli,5.53,135.25,37.4,78.71,100,50.38,0.51,76.12,60,99.15,14.4,60.15
uttar pradesh,Amroha,4.79,170.54,87.3,76.05,14,91.75,0,72.12,0,88.13,12.5,90.13
uttar pradesh,Baghpat,4.79,160.44,100,76.91,16,97.12,0.54,79.68,0,88.53,22,86.97
gujarat,Bhavnagar,5.49,139.36,37.9,79.11,100,42.78,0.66,66.78,60,99.34,12.4,67.51
karnataka,Bidar,5.29,143.54,7.7,57.29,99,58.63,0.95,71.09,0,91.02,8.1,73.87
gujarat,Botad,5.56,129.69,33.5,80.54,100,50.26,0.51,80.06,60,97.62,9.92,56.94
arunachal pradesh,Changlang,3.73,128.69,24.6,25.11,77,0.48,0,33.93,290,10.15,3.5,49.63
madhya pradesh,Chhindwara,5.25,174.93,33.4,72.12,88,63.24,0.72,43.3,135,68.66,12.4,72.21
gujarat,Chhota Udaipur,5.37,120.02,62.9,74.47,100,39.95,1.09,63.06,60,86.16,9.24,71.72
karnataka,Chitradurga,5.46,128.68,26.3,67.62,100,132.25,0.2,58.24,0,82.65,11,71.58
madhya pradesh,Damoh,5.21,198.79,36.4,70.83,98,58.48,0.13,44.25,135,60.64,10.6,78.54
madhya pradesh,Dewas,5.26,206.32,51.3,71.63,73,80,3.28,58.61,135,85.27,12.4,72.4
chhattisgarh,Dhamtari,5.1,146.1,71.4,47.56,100,78.22,0.51,34.67,0,20.22,7.3,89.24
uttarakhand,Garhwal,4.82,141.69,0,44.69,94,0,0,6.03,285,17.05,12.97,95.27
madhya pradesh,Guna,5.25,197.78,47.2,69.81,100,64.96,1.09,53.65,135,61.36,12.1,70.01
uttar pradesh,Hathras,4.87,171.14,87.5,67.73,1,93.83,0.43,82.91,0,78.3,11.6,88.91
west bengal,Hugli,4.77,245.76,24.7,43.41,85,53.74,2.98,67.3,460,61.15,11.32,98.15
rajasthan,Jaipur,5.24,157.45,35.2,70.57,92,225.93,0.1,57.1,167,99.13,34.26,72.05
tamil nadu,Kancheepuram,5.3,150.7,95.8,58.97,95,50.55,56.91,23.16,0,42.68,4.71,94.4
telangana,Karimnagar,5.33,178.26,81.8,68.03,99,27.79,0.51,68.2,0,62.59,8.75,92.7
bihar,Katihar,4.57,172.52,75.3,43.27,4,53.22,0.26,45.22,67.5,91.26,4.6,97
madhya pradesh,Katni,,182.79,62.6,75.65,99,47.12,1.35,51.1,135,61.79,10.1,84.32
karnataka,Kolar,5.45,116.06,13,52.57,98,172.8,1.43,56.1,0,78.46,12.3,92.52
arunachal pradesh,Lohit,3.61,163.93,9,16.64,83,0.37,0.01,68.94,290,5.08,3.3,53.87
gujarat,Mahisagar,5.45,167.96,57.1,79.05,100,47.18,1.23,49.53,60,72.18,8.81,78.8
uttar pradesh,Mathura,4.89,153.63,82.8,79.38,36,71.42,0.09,80.54,0,59.9,5.53,76.29
uttar pradesh,Muzaffarnagar,4.78,145.03,100,73.91,19,76.27,0.33,72.99,0,82.1,13.27,87.04
uttarakhand,Nainital,4.8,166.46,54.6,58.91,18,55.26,0,9.5,285,28.65,23.5,87.48
madhya pradesh,Neemuch,5.49,203.35,41.6,71.56,83,99.23,0.61,44.16,135,82.19,10.33,82.02
telangana,Nizamabad,5.36,186.03,87.6,66.38,100,54.89,12.8,53.83,0,70.41,10.58,91.04
haryana,Palwal,4.85,120.4,98,82.47,100,94.36,1.4,76.81,10,73.58,7.8,80.18
rajasthan,Pratapgarh,4.9,177.42,42.4,72,100,128.5,0.15,45.97,167,57.52,7.14,80.31
puducherry,Puducherry,5.48,198.08,89.3,70.56,0,81.68,6.59,32.76,0,85.14,8,94.75
tamil nadu,Pudukkottai,5.37,110.04,84.2,61.67,96,49.34,41.57,31.03,0,30.28,7,93.9
gujarat,Rajkot,5.58,167.63,42.2,79.24,100,62.85,0.47,65.98,60,98.8,9.6,66.56
uttar pradesh,Rampur,4.8,189.65,96.2,69.07,22,74.65,0.25,79.85,0,89.45,6.8,89.92
telangana,Ranga Reddy,5.34,119.6,29,67.58,100,52.42,1.27,45.32,0,90.45,10.9,85.98
tamil nadu,Salem,5.41,146.06,43.1,62.75,71,135.64,0.28,40.96,0,80.85,10.21,92.85
uttar pradesh,Sant Kabir Nagar,4.71,188.79,50.3,71.44,9,63.24,0.99,69.25,0,80.37,4.62,95.92
uttar pradesh,Shamli,4.65,159.99,100,73.73,7,103.48,0.06,83.1,0,84.2,17.37,88.96
madhya pradesh,Sheopur,4.6,194.76,61.6,73.24,99,38.47,0.06,25.81,135,50.09,15.8,72.72
madhya pradesh,Shivpuri,5.22,189.91,39.6,73,97,67.67,0.78,47.57,135,69.23,13.23,74.72
uttar pradesh,Shravasti,4.8,173.68,44.3,69.73,79,57.14,0.31,64.46,0,73.85,3.4,94.03
rajasthan,Sikar,5.21,140.87,37.2,69.27,53,192.11,13.97,65.6,167,99.18,49,67.46
rajasthan,Sirohi,5.59,135.13,57.9,74.64,45,116.95,1.73,33.28,167,97.92,12.3,64.56
tamil nadu,Sivaganga,4.23,100.64,65.4,57.46,94,28.63,4.1,26.66,0,17.62,10.64,94.64
madhya pradesh,Tikamgarh,5.2,199.46,41.8,73.51,100,81.83,0.85,62.26,135,73.1,10.46,78.78
